,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL,check
9967,2020,13473,2,ESC. ESP. DE TRANST. DE LA COM. NUEVO AMANECE, ,65145686,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.876960000000000,-71.24000500000000,0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9968,2020,13474,0,COLEGIO LA MISION, ,65144313,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.874451000000000,-71.23858600000000,1,10,110,214,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9969,2020,13475,9,COLEGIO SAN MARTIN DE PORRES, ,65149392,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.875570000000000,-71.23269700000000,1,10,110,310,410,510,563,663,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9970,2020,13476,7,JARDIN INFANTIL EL MUNDO DE LOS PELUSITAS, ,76145754,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,-29.905317000000000,-71.25461000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9, ,GRATUITO,$25.001 A $50.000,True
9972,2020,13478,3,JARDIN INFANTIL MI RINCON, ,77544260,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,-29.922012000000000,-71.25435000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9, ,SIN INFORMACION,SIN INFORMACION,True
9973,2020,13479,1,ESCUELA ESPECIAL EL SENDERO, ,65155603,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,-29.958744000000000,-71.25819000000000,0,212,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9974,2020,13480,5,ESCUELA ESPECIAL PALABRITAS, ,65138272,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,3,2,0,-30.596727000000000,-71.20671000000000,0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9975,2020,13481,3,ESCUELA ESPECIAL GALILEO, ,65150025,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,3,2,0,-30.603779000000000,-71.20152000000000,0,214,0,0,0,0,0,0,0,0,0,0,1,1,7,NINGUNA,GRATUITO,GRATUITO,True
9976,2020,13482,1,ESC. ESPECIAL DE TRAST. DE LA COMUN. PLUMA D, ,65155872,1,4,COQ,42,4201,ILLAPEL,43,CHOAPA,3,2,0,-31.634089000000000,-71.17525000000001,0,214,0,0,0,0,0,0,0,0,0,0,1,1,7,NO EXISTE UNA ORIENTACIÓN DEFINIDA. SE RESPETA LA,GRATUITO,GRATUITO,True
9977,2020,13484,8,ESCUELA ESP. TRANS. DE LA COM. ENTREMUNDOS, ,65154504,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,-29.978140000000000,-71.34032400000000,0,214,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
